,Sun,Wed,Thu,Fri,Sat
,19-Jan,22-Jan,23-Jan,24-Jan,25-Jan
,,,,,
AM SUN - THU,JA,JA,JA,,
AM MON - FRI,,"LA, QH","LA, QH","LA, QH",
AM TUE - SAT,,"AT, SF","AT, SF","AT, SF","AT, SF"
PM SUN - THU,AJ,AJ,AJ,,
PM MON - FRI,,PB(GS)|JL| ED|NAZ| ACB,"PB(GS), JL, ED, NAZ, ACB","PB(GS), JL, ED, NAZ, ACB",
PM TUE - SAT,,AHU|DDD,"AHU, DDD","AHU, DDD","AHU, DDD"
Notes,,Power Cycle NovaSeq A01941,,,NaOH expires 1/26!
gDNA,,"gDNA
|LA| ED|JL","Fractionation-gDNA
[LA ED] JL","Fractionation-gDNA
[LA ED] JL",
cfDNA,"HPV cfDNA
[JA]","cfDNA+HPV|
|QH| JA","cfDNA
[QH] AT","cfDNA
[QH]",
Review,,"25MX7: OncoSeek (22)      Biomarkers Checked
 25MX8: OncoSeek","
",,
Morning,,,,,
,"Batch Thu: Hyb D2
|JA",,,,
,,"Batch Fri: NGS Plate Prep
|JA|","Batch Fri: PCR Clean up
[JA] ","Batch Fri: Hyb D2
[AT] ",
,,"Batch Mon: PCR Clean up
|JA|","Batch Mon: Hyb D2
[JA]",,
,,"Batch Tue: NGS Plate Prep
|AT|","Batch Tue: PCR Clean up
[AT]","Batch Tue: Hyb D2
[AT]",
,,,"Batch Wed: NGS Plate Prep
[SF] ","Batch Wed: PCR Clean up
[SF] ","Batch Wed: Hyb D2
[AT]"
,,,,"Batch Thu: NGS Plate Prep
[QH] ","Batch Thu: PCR Clean up
[SF] "
Evening,,,,,
,"Batch Thu: Pool Seq|
AJ",,,,
,,,"Batch Fri: Hyb D1
[ACB]","Batch Fri: Pool Seq
[ACB]","Batch Fri: SAV
[AHU]"
,,"Batch Mon: Hyb D1
|NSA|","Batch Mon: Pool Seq 
[NSA]",,
,,"Batch Tue: Lib Prep |
|AHU| AJ","Batch Tue: Hyb D1
[AHU]","Batch Tue: Pool Seq
[AHU]",
,,"Batch Wed: Batching
|DDD|","Batch Wed: Lib Prep
[DDD]","Batch Wed: Hyb D1
[DDD]","Batch Wed: Pool Seq 
[DDD]"
,,,"Batch Thu: Batching
NGS Plate Prep
[AJ]","Batch Thu: Lib Prep
[ACB]",
,,,,"Batch Fri: Batching (22)
[ED]",
Comments,,,"MDL Monthly Meeting 2-3 PM, Z2.4040",,
